Datetime,Water Level (m)
2023-03-12 00:00:00,-1.1259687
2023-03-12 01:00:00,-0.89064974
2023-03-12 02:00:00,-0.49712002
2023-03-12 03:00:00,-0.034828044
2023-03-12 04:00:00,0.3421057
2023-03-12 05:00:00,0.5668522
2023-03-12 06:00:00,0.58180606
2023-03-12 07:00:00,0.3556777
2023-03-12 08:00:00,-0.009395353
2023-03-12 09:00:00,-0.39242226
2023-03-12 10:00:00,-0.7197426
2023-03-12 11:00:00,-0.9316113
2023-03-12 12:00:00,-0.9461636
2023-03-12 13:00:00,-0.7662828
2023-03-12 14:00:00,-0.44880903
2023-03-12 15:00:00,-0.10265525
2023-03-12 16:00:00,0.21332571
2023-03-12 17:00:00,0.3969493
2023-03-12 18:00:00,0.4046123
2023-03-12 19:00:00,0.21282534
2023-03-12 20:00:00,-0.1187675
2023-03-12 21:00:00,-0.50574857
2023-03-12 22:00:00,-0.85653305
2023-03-12 23:00:00,-1.0961609
2023-03-13 00:00:00,-1.155761
2023-03-13 01:00:00,-1.0073487
2023-03-13 02:00:00,-0.7033559
2023-03-13 03:00:00,-0.3025718
2023-03-13 04:00:00,0.060846582
2023-03-13 05:00:00,0.35162422
2023-03-13 06:00:00,0.48136595
2023-03-13 07:00:00,0.4235328
2023-03-13 08:00:00,0.2037477
2023-03-13 09:00:00,-0.09649733
2023-03-13 10:00:00,-0.40895927
2023-03-13 11:00:00,-0.6881768
2023-03-13 12:00:00,-0.83182627
2023-03-13 13:00:00,-0.80887294
2023-03-13 14:00:00,-0.63035357
2023-03-13 15:00:00,-0.3528693
2023-03-13 16:00:00,-0.06251222
2023-03-13 17:00:00,0.15118949
2023-03-13 18:00:00,0.25602862
2023-03-13 19:00:00,0.20260634
2023-03-13 20:00:00,0.0008884467
2023-03-13 21:00:00,-0.29326156
2023-03-13 22:00:00,-0.595267
2023-03-13 23:00:00,-0.8462575
2023-03-14 00:00:00,-1.0018872
2023-03-14 01:00:00,-1.0050396
2023-03-14 02:00:00,-0.8488551
2023-03-14 03:00:00,-0.55964446
2023-03-14 04:00:00,-0.23590207
2023-03-14 05:00:00,0.06802549
2023-03-14 06:00:00,0.29956043
2023-03-14 07:00:00,0.39438272
2023-03-14 08:00:00,0.33196905
2023-03-14 09:00:00,0.15027575
2023-03-14 10:00:00,-0.09332122
2023-03-14 11:00:00,-0.34068277
2023-03-14 12:00:00,-0.5472416
2023-03-14 13:00:00,-0.65404487
2023-03-14 14:00:00,-0.6413801
2023-03-14 15:00:00,-0.5197812
2023-03-14 16:00:00,-0.32769167
2023-03-14 17:00:00,-0.14482385
2023-03-14 18:00:00,0.014725289
2023-03-14 19:00:00,0.085457556
2023-03-14 20:00:00,0.04929958
2023-03-14 21:00:00,-0.110693514
2023-03-14 22:00:00,-0.32124206
2023-03-14 23:00:00,-0.54741836
2023-03-15 00:00:00,-0.74189353
2023-03-15 01:00:00,-0.86187077
2023-03-15 02:00:00,-0.8620334
2023-03-15 03:00:00,-0.73206776
2023-03-15 04:00:00,-0.5246068
2023-03-15 05:00:00,-0.2740808
2023-03-15 06:00:00,-0.029507346
2023-03-15 07:00:00,0.16790442
2023-03-15 08:00:00,0.2761195
2023-03-15 09:00:00,0.26828706
2023-03-15 10:00:00,0.15429433
2023-03-15 11:00:00,-0.022516884
2023-03-15 12:00:00,-0.21761024
2023-03-15 13:00:00,-0.40603927
2023-03-15 14:00:00,-0.5393698
2023-03-15 15:00:00,-0.58920276
2023-03-15 16:00:00,-0.5401375
2023-03-15 17:00:00,-0.44636104
2023-03-15 18:00:00,-0.3115161
2023-03-15 19:00:00,-0.183289
2023-03-15 20:00:00,-0.07985698
2023-03-15 21:00:00,-0.06885443
2023-03-15 22:00:00,-0.1376136
2023-03-15 23:00:00,-0.26264626
2023-03-16 00:00:00,-0.41249573
2023-03-16 01:00:00,-0.5927914
2023-03-16 02:00:00,-0.7233653
2023-03-16 03:00:00,-0.7782157
2023-03-16 04:00:00,-0.7341131
2023-03-16 05:00:00,-0.60269004
2023-03-16 06:00:00,-0.39870933
2023-03-16 07:00:00,-0.1648232
2023-03-16 08:00:00,0.059168793
2023-03-16 09:00:00,0.22291191
2023-03-16 10:00:00,0.28912416
2023-03-16 11:00:00,0.25399253
2023-03-16 12:00:00,0.12584777
2023-03-16 13:00:00,-0.061711654
2023-03-16 14:00:00,-0.27754176
2023-03-16 15:00:00,-0.48025477
2023-03-16 16:00:00,-0.6294398
2023-03-16 17:00:00,-0.6881478
2023-03-16 18:00:00,-0.6485542
2023-03-16 19:00:00,-0.52309066
2023-03-16 20:00:00,-0.3398363
